date,price
01-Jun-2021,70.03
15-Jun-2021,73.88
01-Jul-2021,76.69
15-Jul-2021,74.46
01-Aug-2021,73.91
15-Aug-2021,70.07
01-Sep-2021,71.99
15-Sep-2021,75.14
01-Oct-2021,79.4
15-Oct-2021,84.13
01-Nov-2021,84.51
15-Nov-2021,82.85
01-Dec-2021,69.53
15-Dec-2021,74.64
01-Jan-2022,78.25
15-Jan-2022,87.82
01-Feb-2022,90.24
15-Feb-2022,97.44
01-Mar-2022,110.93
15-Mar-2022,104.61
01-Apr-2022,106.13
15-Apr-2022,110.83
01-May-2022,108.36
15-May-2022,114.86
01-Jun-2022,122.2
15-Jun-2022,125.78
01-Jul-2022,119.21
15-Jul-2022,117.27
01-Aug-2022,106.09
15-Aug-2022,95.36
01-Sep-2022,92.24
15-Sep-2022,89.43
01-Oct-2022,90.68
15-Oct-2022,91.04
01-Nov-2022,95.12
15-Nov-2022,92.61
01-Dec-2022,86.28
15-Dec-2022,80.2
01-Jan-2023,82.82
15-Jan-2023,82.65
01-Feb-2023,81.61
15-Feb-2023,83.84
01-Mar-2023,83.68
15-Mar-2023,73.12
01-Apr-2023,85.81
15-Apr-2023,85.63
01-May-2023,76.71
15-May-2023,75.15
01-Jun-2023,74.18
15-Jun-2023,76.76
01-Jul-2023,74.52
15-Jul-2023,77.8
01-Aug-2023,85.34
15-Aug-2023,84.49
01-Sep-2023,89.98
15-Sep-2023,95.95
01-Oct-2023,91.21
15-Oct-2023,90.99
01-Nov-2023,86.92
15-Nov-2023,77.73
01-Dec-2023,78.72
15-Dec-2023,78.89
01-Jan-2024,76.24
15-Jan-2024,80.15
01-Feb-2024,82.2
15-Feb-2024,84.88
01-Mar-2024,84.82
15-Mar-2024,86.47
01-Apr-2024,87.63
15-Apr-2024,91.29
01-May-2024,83.55
15-May-2024,81.65